project_reference,project_name,status,year_in_map,capacity_kt_h2_per_year,latitude,longitude,source_publication
2996,"Sinochem Yueda 1,000,000 tons/year Green Methanol Project",Concept,0,191.327,33.36532211303711,120.1790771484375,GHR2026
2997,"Duolun County 200,000 tons green methanol project",Feasibility study,0,38.2654,44.01582336425781,116.01121520996094,GHR2026
2998,1.6GW Wind power grid-load-storage to green methanol project,Feasibility study,0,57.3981,35.999183654785156,118.17274475097656,GHR2026
3000,Shuifa energy Qianguoer county source-grid-load-storage-hydrogen-ammonia-methanol integration project,Feasibility study,0,76.5308,45.14690017700195,124.82884216308594,GHR2026
3916,Liquid Sunshine biomethanol fuel plant in China - Phase 2,Concept,0,0.0,21.43256950378418,109.18159484863281,GHR2026
3919,Kangping green fuel demonstration program phase 1,FID/Construction,2028,1.9491,42.83000183105469,123.38999938964844,GHR2026
3920,ChinaCoal Siping New Energy Hydrogen-Ammonia Project,FID/Construction,2028,58.628928,43.191009521484375,124.42738342285156,GHR2026
3921,CGN Wuhai hainan District Solar & Wind PtX Integration,FID/Construction,2026,13.73803644,39.218711853027344,106.90079498291016,GHR2026
3923,Kangping green fuel demonstration program phase 2,Concept,2031,12.0,42.83000183105469,123.38999938964844,GHR2026
1084,Yellow Sea,Concept,0,346.5066667,36.07353210449219,120.39427947998047,GHR2026
1123,Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,Feasibility study,2027,100.0,39.67405700683594,109.7247543334961,GHR2026
1124,Sinopec - Kuqa,Operational,2023,44.0666087,41.82754898071289,83.39490509033203,GHR2026
3001,"Yushu 150,000 tons green hydrogen coupled biomass to methanol project",Concept,0,28.69905,44.86183547973633,126.5675048828125,GHR2026
3011,Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 3,Concept,0,54.02160864,42.272090911865234,118.89097595214844,GHR2026
3018,LONGi Urad (Wulate) Rear Banner Integrated wind and solar hydrogen production project,Feasibility study,2027,84.74347826,41.09157943725586,107.04593658447266,GHR2026
3770,China Huadian project in Baoutou,FID/Construction,2029,25.988,40.717567443847656,109.90467834472656,GHR2026
3773,Hami Tonghuide Green Zero-Carbon Integrated  Casting Project,FID/Construction,2030,18.64356522,42.890926361083984,91.14435577392578,GHR2026
3787,Junrui Green Hydrogen Energy renewable hydrogen project in New Material Industrial Park Ulanqab,FID/Construction,2027,14.4,40.995853424072266,113.13221740722656,GHR2026
3788,Junrui Green Hydrogen Energy renewable hydrogen project in Qingshuihe county,Concept,2029,60.81192,39.96876907348633,112.04029846191406,GHR2026
1316,HBIS DRI in Zhangxuan Technology of Hesteel Group,Feasibility study,0,150.648,40.518348693847656,114.94176483154297,GHR2026
1451,"Ningxia Solar Hydrogen Project, Phase 2",Operational,2021,20.33843478,38.49253463745117,106.23847198486328,GHR2026
1543,China Coal Ordos Energy and Chemical,FID/Construction,2027,36.019368,39.621707916259766,109.7280502319336,GHR2026
1546,Sinopec Yanshan Petrochemical,DEMO,2022,0.187413462,39.7310905456543,115.96910095214844,GHR2026
1760,Huadian Baotou City Damaoqi Hydrogen Production Electrolysis Project,Operational,2024,10.3952,40.664398193359375,109.84298706054688,GHR2026
1761,PetroChina Yumen Oilfield - Phase 1,Operational,2024,2.1,40.23697280883789,97.5426254272461,GHR2026
1773,Otog Front Banner Shanghaimiao Economic Development Zone Solar Power-to-Gas Project,Operational,2025,7.01676,39.621707916259766,109.7280502319336,GHR2026
1777,"Zhongyuan Oil Field MW-Scale Renewable P2G, phase 1",Operational,2022,0.36312,35.7629280090332,114.98051452636719,GHR2026
1778,"Zhongyuan Oil Field MW-Scale Renewable P2G, phase 2",FID/Construction,2026,0.77964,35.7629280090332,114.98051452636719,GHR2026
1795,Da'an Jilin Power Wind-Solar-Hydrogen-Ammonia Integration Project,Operational,2025,32.0,45.42453384399414,123.48551940917969,GHR2026
1796,Chicheng Wind-Hydrogen-Storage Energy Integration Demonstration stage 1,Operational,2022,1.732533333,40.78163146972656,114.86766052246094,GHR2026
3162,Grove Hydrogen Energy Technology Group hydrogen project,FID/Construction,2027,80.0,44.07339096069336,90.64867401123047,GHR2026
3183,Otog Qianqi integrated wind-solar hydrogen production and green ammonia synthesis project,FID/Construction,2027,37.42272,39.32551956176758,107.75877380371094,GHR2026
3186,Shanghai Refire Group - Sun Mountain Development Zone (Wuzhong),FID/Construction,2030,16.5,37.98295211791992,106.21726989746094,GHR2026
3187,Guohua New Energy - Sun Mountain Development Zone (Wuzhong),Feasibility study,2029,16.0,37.98295211791992,106.21726989746094,GHR2026
3188,Beijing Hydrogen Energy - Sun Mountain Development Zone (Wuzhong),Feasibility study,0,24.0,37.98295211791992,106.21726989746094,GHR2026
3194,Etuokeqian Banner 250MW photovoltaic power station and hydrogen energy comprehensive utilization demonstration project,Feasibility study,0,6.0,38.366294860839844,107.59959411621094,GHR2026
3196,Shenzhen Energy Group Chifeng Linxi hydrogen project,Concept,0,27.01080432,43.60216522216797,118.1743392944336,GHR2026
3197,China General Nuclear Power Group methanol project in Ruichang City,Feasibility study,2027,50.0,29.59531593322754,115.44780731201172,GHR2026
1921,"Hydrogen Energy Metallurgical Chemical Demonstration Zone, phase 2",Concept,2031,127.1152174,40.650001525878906,109.83333587646484,GHR2026
1922,"Hydrogen Energy Metallurgical Chemical Demonstration Zone, phase 1",FID/Construction,2027,127.1152174,40.650001525878906,109.83333587646484,GHR2026
1961,China Nuclear Wind Storage Hydrogen and Ammonia Demostration Project,FID/Construction,2026,43.65984,46.37723922729492,121.43870544433594,GHR2026
1962,Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 1,Operational,2024,4.67784,42.272090911865234,118.89097595214844,GHR2026
1968,Ulanqab Xinghe County Wind-Solar Power Generation Hydrogen Production Ammonia Integration,Feasibility study,2029,25.7,41.06806182861328,113.31218719482422,GHR2026
3577,Jixian County/CSSC/Sichuan Hongzhan Industrial Group green methanol project in Shuangyashan (Heilongjiang ),FID/Construction,2030,22.767913,46.599998474121094,131.1999969482422,GHR2026
3593,Huadian Jiujiang Chaisang District PtX,Feasibility study,2029,0.77964,29.7060604095459,115.9069595336914,GHR2026
3633,Xinjiang Junrui Baicheng Large-Scale Green Hydrogen Project,Feasibility study,2028,14.4,40.404605865478516,80.40946197509766,GHR2026
2125,Jingneng Coal-to-Chemical Renewable Green Hydrogen Alternative Demostration Project,FID/Construction,2029,26.816,46.124732971191406,121.97467041015625,GHR2026
2126,"Jingneng Chagannur Wind Poer Hydrogen Production Project, phase 1",Operational,2023,0.384,43.898414611816406,116.0348129272461,GHR2026
2128,China Datang Duolun wind-solar hydrogen production demostration project,Operational,2025,10.91496,43.898414611816406,116.0348129272461,GHR2026
2203,China State Shipbuilding (CSSC) 500MW wind power hydrogen methanol production project in Tong Liao ,FID/Construction,2028,53.57156,43.80121994018555,122.25126647949219,GHR2026
2207,GuofuHee - CMEC - Longyuan Power grren H2 plant in Inner Mongolia,Concept,2030,6.6,40.46549606323242,113.22222137451172,GHR2026
85,Tongji solar hybrid hydrogen refueling station,Operational,2018,0.019491,31.25068473815918,121.4365005493164,GHR2026
113,"Baicheng, Jilin wind-solar project",Concept,2035,2000.0,45.66828918457031,122.84638214111328,GHR2026
2288,Three Gorges Corp.'s Inner Mongolia project ,Operational,2023,12.47424,39.621707916259766,109.7280502319336,GHR2026
2854,PetroChina Qinghai,FID/Construction,2029,77.964,37.38542556762695,97.31481170654297,GHR2026
2858,"Shanxi International Energy Group SAF project, phase 1",FID/Construction,2028,42.5,44.80349349975586,120.8158187866211,GHR2026
2859,"Shanxi International Energy Group SAF project, phase 2",Concept,0,0.0,44.80349349975586,120.8158187866211,GHR2026
2871,CGN Xinggan League Methanol Production Project,FID/Construction,2028,76.53108,46.09571075439453,122.05038452148438,GHR2026
2872,CGN Chifeng City Balinzuo Banner,FID/Construction,2028,38.26554,42.287628173828125,118.90501403808594,GHR2026
2873,H2-MeOH production and heavy truck integrated technology park in Zhenyuan,Concept,2031,6.930133333,35.726959228515625,107.18533325195312,GHR2026
2874,Inner Mongolia Zhongsheng Tech. Group low-carbon methanol ,Feasibility study,2027,3.82654,40.838802337646484,107.40682983398438,GHR2026
2533,CEEC Songyuan Hydrogen Energy Industrial Park (Green H2-NH3 Integration) Phase 1,Operational,2025,54.23582609,45.14690017700195,124.82884216308594,GHR2026
2556,"Shanghai Electric -Taonan Wind Power with Biomass for Green Methanol, phase 1",Operational,2025,9.56635,45.62565994262695,122.84099578857422,GHR2026
2603,Goldwind e-methanol project,Operational,2025,47.83175,46.092384338378906,122.03680419921875,GHR2026
2634,CEEC Songyuan Hydrogen Energy Industrial Park (Green H2-NH3 Integration) Phase 2,FID/Construction,2027,191.9113846,45.14690017700195,124.82884216308594,GHR2026
2643,Baofeng Ordos Base Green Hydrogen Integrating with Coal-to-Olefins Production Demo,FID/Construction,2027,54.08537102,39.67405700683594,109.7247543334961,GHR2026
2647,"Qitai Smart Energy Equipment Industrial Park - 50,000 Ton Green Hydrogen and Green Methanol Project (Phase 1)",FID/Construction,2031,9.56635,44.04059600830078,87.2522964477539,GHR2026
2649,Daye Green Power project,Operational,2025,4.67784,30.190277099609375,115.0738754272461,GHR2026
2650,Hydrogen Into Ten Thousand Homes - Huadian Weifang Hydrogen Energy Storage Demonstration ,Operational,2025,4.237173913,36.692378997802734,119.20782470703125,GHR2026
2660,Rudong Renewable Hydrogen Supply Base and Hydrogen Equipment Manufacturing Program Stage1,Operational,2025,1.16946,32.06706237792969,120.81446838378906,GHR2026
2672,Zheneng-DSIC 10K Ton-Scale Green Methanol Project,FID/Construction,2026,1.91327,38.920833587646484,121.63916778564453,GHR2026
2683,"Qitai Smart Energy Equipment Industrial Park - 50,000 Ton Green Hydrogen and Green Methanol Project (Phase 2)",Concept,0,9.56635,44.04059600830078,87.2522964477539,GHR2026
2684,"Qitai Smart Energy Equipment Industrial Park - 50,000 Ton Green Hydrogen and Green Methanol Project (Phase 3)",Concept,0,38.2654,44.04059600830078,87.2522964477539,GHR2026
3411,CEEC Shijiazhuang Luquan PV Hydrogen Production and Supporting Industry Project,Operational,2026,2.6,38.098304748535156,114.62130737304688,GHR2026
3418,Xinjian Junrui Wenshu,Feasibility study,2028,14.0,41.521820068359375,80.47449493408203,GHR2026
2705,AEM Nexus in China for testing,Operational,2025,0.18786506,31.967092514038086,105.31765747070312,GHR2026
2718,Shandong Green Methanol Plant,Concept,2029,76.5308,37.492584228515625,121.24213409423828,GHR2026
2726,SPIC SAF facility - Qiqihaer - Phase 1,Feasibility study,2027,6.578947368,47.3557014465332,124.04827117919922,GHR2026
2727,SPIC SAF facility - Qiqihaer - Phase 2,Concept,2030,159.9,47.3557014465332,124.04827117919922,GHR2026
3448,Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 4,Concept,0,162.0648259,42.272090911865234,118.89097595214844,GHR2026
3466,Sinopec Qingdao Refinery ,DEMO,2025,0.0155928,36.06344985961914,12.531328201293945,GHR2026
3500,"Shanghai Electric -Taonan Wind Power with Biomass for Green Methanol, phase 2",Feasibility study,2027,105.6847804,45.62565994262695,122.84099578857422,GHR2026
3543,"Lishu wind-solar-hydrogen-biomass integrated green methanol, electrolysis",FID/Construction,2028,24.94848,43.186092376708984,124.43994140625,GHR2026
3552,"Shawan 100,000 T/A Green Hydrogen to 600,000 T/A Green Ammonia Project",Feasibility study,2028,124.7424,45.862571716308594,83.28577423095703,GHR2026
3560,"CNTY Liaoyuan Wind-Solar-Hydrogen-Methanol Project, Stage-2",Concept,0,248.7251,42.87801742553711,125.1016616821289,GHR2026
2768,CEIC Cangzhou Green Ammonia project,FID/Construction,2027,25.42304348,38.31577682495117,116.83580017089844,GHR2026
2783,"CNTY Liaoyuan Wind-Solar-Hydrogen-Methanol Project, Stage-1 ",FID/Construction,2028,57.39795918,42.87801742553711,125.1016616821289,GHR2026
2789,Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 2,Operational,2025,50.42016807,42.272090911865234,118.89097595214844,GHR2026
2917,Zheneng-DSIC 500K Ton-Scale Green Methanol Project,Concept,0,95.6635,38.920833587646484,121.63916778564453,GHR2026
2919,"Mingyang Smart Energy e-methanol project, phase 1",Feasibility study,2029,33.482225,42.410064697265625,119.09750366210938,GHR2026
2921,"Yuanhuang Energy Inner Mongolia e-methanol project, phase 1",FID/Construction,2028,66.96445,40.747039794921875,107.43833923339844,GHR2026
2922,Jidao Energy Ordos e-methanol project,Concept,0,64.5728625,39.76882553100586,109.74235534667969,GHR2026
